# ACTS Test Suite Generation: Mon Nov 13 18:26:33 PST 2017
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 51
# Maximum number of values per parameter: 10
# Number of configurations: 10926
# Number of extended configurations: 0
# ****************************************************
any,posix,boundary,notBoundary,word_begin,word_end,wordC,notWordC,whitespace,notWhitespace,tab,property,notProperty,nameProperty,digit,notDigit,look_ahead,nlook_ahead,look_behind,nlook_behind,unicodeC,backref,zeroOrOne,zeroOrOne_nested,zeroOrMore,zeroOrMore_nested,oneOrMore,oneOrMore_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,join,list,nList,range,start,end,-w,-c,-i,-e,-f,-x,-t,-v,-BlockSize,syntax,fileType
true,off,true,true,true,true,true,true,true,true,true,off,off,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,small,true,small-small,true,small,true,true,true,true,true,true,true,true,true,true,true,true,true,off,true,off,off,s
false,off,false,false,false,false,false,false,false,false,false,off,off,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,medium,false,small-small,false,medium,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,64,-E,m
true,off,false,true,false,true,false,true,false,true,false,off,off,true,false,true,false,true,false,true,false,true,false,true,false,true,false,true,large,false,small-small,true,large,false,true,false,true,false,true,false,true,false,true,false,true,false,2,true,128,-G,l
false,off,true,false,true,false,true,false,true,false,true,off,off,false,true,false,true,false,true,false,true,false,true,false,true,false,true,false,small,true,small-small,false,medium,true,false,true,false,true,false,true,false,true,false,true,false,true,3,false,256,-P,l
false,off,true,false,false,true,true,false,false,true,true,off,off,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,medium,true,small-small,false,large,false,true,true,false,false,true,true,false,false,true,true,false,false,4,true,512,off,s
false,off,true,false,true,true,false,true,true,false,false,off,binary,true,true,false,false,true,false,false,true,true,true,false,false,true,true,false,large,false,small-small,false,small,true,true,false,true,true,false,false,true,true,false,false,true,true,off,false,64,-G,m
true,off,true,true,true,false,false,false,false,true,true,off,binary,true,true,false,false,false,true,true,false,false,true,true,false,false,true,true,medium,false,small-small,true,large,false,false,true,true,true,false,false,false,false,true,false,false,true,1,true,off,-P,l
false,off,false,true,false,false,true,true,false,false,true,off,binary,true,false,false,true,true,true,false,false,true,false,false,true,true,false,false,small,true,small-small,true,small,false,false,false,false,true,true,true,true,true,false,false,true,false,2,false,256,-E,s
true,off,false,false,true,false,false,true,true,true,false,off,binary,false,false,true,true,false,true,false,false,false,true,true,false,true,false,false,large,true,small-small,false,medium,true,true,true,true,false,false,true,true,false,false,true,true,false,3,true,128,off,s
true,off,true,true,false,true,true,false,true,false,false,off,binary,false,true,true,false,true,true,true,false,true,false,false,true,false,true,false,large,false,small-small,true,medium,true,false,false,false,false,true,false,false,true,true,true,false,true,4,true,512,-E,l
true,off,false,false,false,true,true,false,true,true,true,off,enum,true,false,false,false,false,true,false,true,true,false,true,false,false,true,true,medium,true,small-small,false,small,true,false,false,false,false,true,false,true,true,false,true,true,false,off,false,128,-P,m
false,off,true,true,false,true,false,false,true,true,false,off,enum,false,true,true,true,true,false,false,false,false,true,true,true,true,false,true,small,false,small-small,true,large,true,false,true,false,true,false,true,true,false,false,false,false,true,1,false,256,-G,m
false,off,false,true,true,false,true,false,false,true,false,off,enum,true,true,true,false,false,false,true,true,true,true,false,true,false,false,false,large,true,small-small,true,medium,false,true,false,true,true,false,true,false,true,true,true,true,false,2,false,off,off,m
